product,rating,rating count,price,product url
Lee Men's Relaxed Fit Straight Leg Jean  ,4.5 out of 5 stars,"10,671  ",30.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03088193KHSOYNK4MXGF&url=%2FLee-Mens-Relaxed-Straight-Newman%2Fdp%2FB08WKDNPHY%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-49-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_atf_next
PacSun Men's Black Skinny Jeans  ,4.7 out of 5 stars,7  ,29.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05963494VRY01VBZ2H8&url=%2FPacSun-Mens-Black-Skinny-Jeans%2Fdp%2FB01JGTSGN8%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-50-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_atf_next
Lee Men's Regular Fit Straight Leg Jeans  ,4.5 out of 5 stars,"26,724  ",29.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05349282J3IE85MQS2Q&url=%2FMens-Regular-Straight-Stout-38Wx29L%2Fdp%2FB01DXI57QM%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-51-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_atf_next
QIMYUM Men's Distressed Slim Fit Biker Jeans Stretched Moto Denim Pants  ,4.4 out of 5 stars,"1,688  ",39.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0585126M6YE54CHEGID&url=%2FQIMYUM-Distressed-Straight-Biker-Stretched%2Fdp%2FB07T1L7BNL%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-52-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_atf_next
Wrangler Women's Western Mid Rise Stretch Boot Cut Jean  ,4.4 out of 5 stars,"4,684  ",33.,https://amazon.com/Wrangler-womens-Western-Stretch-Jeans/dp/B01MQILX8I/ref=sr_1_53?keywords=jeans&qid=1662383725&sr=8-53
Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean  ,4.3 out of 5 stars,"22,062  ",18.,https://amazon.com/Gloria-Vanderbilt-Classic-Tapered-Callisto/dp/B079VT37F9/ref=sr_1_54?keywords=jeans&qid=1662383725&sr=8-54
Wrangler Authentics Men's Classic 5-Pocket Regular Fit Cotton Jean  ,4.5 out of 5 stars,"37,709  ",29.,https://amazon.com/Wrangler-Authentics-Classic-5-Pocket-Stonewash/dp/B00XKXNREU/ref=sr_1_55?keywords=jeans&qid=1662383725&sr=8-55
Jessica Simpson Women's Curvy High Rise Skinny Jeans  ,4.2 out of 5 stars,717  ,24.,https://amazon.com/Jessica-Simpson-Womens-Curvy-Skinny/dp/B07D6361SN/ref=sr_1_56?keywords=jeans&qid=1662383725&sr=8-56
ARIAT Women's Ultra Stretch Perfect Rise Katie Flare Jean  ,4.4 out of 5 stars,919  ,84.,https://amazon.com/ARIAT-Womens-Ultra-Stretch-Perfect/dp/B084Z3TZ8L/ref=sr_1_57?keywords=jeans&qid=1662383725&sr=8-57
Democracy Women's Ab Solution Crop  ,4.6 out of 5 stars,766  ,47.,https://amazon.com/Democracy-Womens-Solution-Crop-Blue/dp/B07H56XDWH/ref=sr_1_58?keywords=jeans&qid=1662383725&sr=8-58
Kiss Me Skinny Jeans  ,4.5 out of 5 stars,935  ,24.,https://amazon.com/Jessica-Simpson-Womens-Skinny-Charlotte/dp/B07RSTKQWW/ref=sr_1_59?keywords=jeans&qid=1662383725&sr=8-59
Wrangler Women's High Rise Unforgettable Skinny Jean  ,4.2 out of 5 stars,355  ,38.,https://amazon.com/Wrangler-Womens-Unforgettable-Skinny-Marina/dp/B08Z8JTG83/ref=sr_1_61?keywords=jeans&qid=1662383725&sr=8-61
Wrangler Men's 13mwz Cowboy Cut Original Fit Jean  ,4.5 out of 5 stars,"3,238  ",37.,https://amazon.com/Wrangler-Cowboy-Original-Shadow-Black/dp/B0007CKKD8/ref=sr_1_63?keywords=jeans&qid=1662383725&sr=8-63
Buffalo David Bitton Men's Slim Ash Jeans  ,4.4 out of 5 stars,"1,260  ",59.,https://amazon.com/Buffalo-David-Bitton-Authentic-Sanded/dp/B08Q8SLDBH/ref=sr_1_64?keywords=jeans&qid=1662383725&sr=8-64
Enrica Men's Casual Printed Jeans Skinny Denim Pants  ,4.3 out of 5 stars,"5,232  ",35.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A085679019GB5A2NXTOFW&url=%2FEnrica-Casual-Color-Printed-Skinny%2Fdp%2FB07K7HXHPN%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-65-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
DONGD Mens Denim Shorts Cotton Multi-Pocket Relaxed Fit Jean Shorts  ,3.0 out of 5 stars,3  ,20.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0122809BGRVBZG9S9JI&url=%2FDONGD-Shorts-Cotton-Multi-Pocket-Relaxed%2Fdp%2FB09XB7CYK9%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-66-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
RXXKKK Men's Patchwork Contrast Color Regular Fit Flex Jean  ,4.6 out of 5 stars,30  ,32.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A101300334D4M9RAGFQ22&url=%2FRXXKKK-Patchwork-Contrast-Color-Regular%2Fdp%2FB09YRLSYFB%2Fref%3Dsr_1_67_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-67-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
RIPIUM Men's Skinny Stretch Jeans Fashion Printed Slim Fit Jeans Comfort Flex Waist Casual Pants  ,4.5 out of 5 stars,124  ,35.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A02723873I5QY0722V7FE&url=%2FRIPIUM-Stretch-Fashion-Printed-Comfort%2Fdp%2FB09N9Q3WN3%2Fref%3Dsr_1_68_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-68-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
Lee Women's Flex Motion Regular Fit Straight Leg Jean  ,4.4 out of 5 stars,"4,421  ",25.,https://amazon.com/LEE-Womens-Motion-Regular-Straight/dp/B07PYT15ZN/ref=sr_1_69?keywords=jeans&qid=1662383725&sr=8-69
Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean  ,4.3 out of 5 stars,"1,147  ",9.,https://amazon.com/Gloria-Vanderbilt-Womens-Classic-Tapered/dp/B07B4RVW47/ref=sr_1_70?keywords=jeans&qid=1662383725&sr=8-70
Lee Women's Misses Regular Fit Bootcut Jean  ,4.3 out of 5 stars,"1,452  ",29.,https://amazon.com/Lee-Womens-Regular-Bootcut-Compass/dp/B088WRZHMT/ref=sr_1_72?keywords=jeans&qid=1662383725&sr=8-72
Wrangler Men's Free-to-Stretch Relaxed Fit Jean  ,4.5 out of 5 stars,320  ,22.,https://amazon.com/Wrangler-Premium-Denim-Relaxed-Marine/dp/B07NX2L6SS/ref=sr_1_74?keywords=jeans&qid=1662383725&sr=8-74
Lucky Brand Men's 410 Athletic Fit Jean  ,4.5 out of 5 stars,"3,255  ",47.,https://amazon.com/Lucky-Brand-Athletic-Barite-34x30/dp/B00ZHN82S2/ref=sr_1_75?keywords=jeans&qid=1662383725&sr=8-75
Wrangler Men's Premium Performance Cowboy Cut Slim Fit Jean  ,4.4 out of 5 stars,"1,903  ",33.,https://amazon.com/Wrangler-Premium-Performance-Cowboy-Stone/dp/B008O2F8SK/ref=sr_1_76?keywords=jeans&qid=1662383725&sr=8-76
Amazon Essentials Women's Skinny Jean  ,4.2 out of 5 stars,"7,143  ",32.,https://amazon.com/Amazon-Essentials-Womens-Skinny-White/dp/B07JVBRVJY/ref=sr_1_78?keywords=jeans&qid=1662383725&sr=8-78
Gloria Vanderbilt Women's Amanda Pull on High Rise Jean  ,4.2 out of 5 stars,"1,222  ",29.,https://amazon.com/Gloria-Vanderbilt-Womens-Vermont-Regular/dp/B0925D62G6/ref=sr_1_79?keywords=jeans&qid=1662383725&sr=8-79
Wrangler Women's High Rise True Straight Fit Jean  ,4.3 out of 5 stars,968  ,41.,https://amazon.com/Wrangler-Womens-High-Straight-Stockton/dp/B092JMB4T1/ref=sr_1_80?keywords=jeans&qid=1662383725&sr=8-80
"MXCVYCC Men's Ripped Jeans,Slim Fit Distressed Straight Leg Fashion Denim Pants  ",4.0 out of 5 stars,511  ,30.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A034509434DK1S9ZYNYK9&url=%2FMXCVYCC-Destroyed-Straight-Distressed-Numeric_30%2Fdp%2FB095S74P33%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-81-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
Vertx Men's Defiance Jeans  ,4.6 out of 5 stars,844  ,64.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A02051631UAN034ML157D&url=%2FVertx-Standard-Defiance-Jeans-Ironwood%2Fdp%2FB09GZHL5V5%2Fref%3Dsr_1_82_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-82-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
Diesel 2019 D-STRUKT 09A80 Slim Jeans Jeans  ,4.5 out of 5 stars,32  ,195.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08199313EXGLOOXFE8M4&url=%2FDiesel-D-STRUKT-09A80-01%2Fdp%2FB097LPJXV4%2Fref%3Dsr_1_83_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-83-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
"ZLZ Black Biker Jeans for Men Slim Fit, Men's Comfy Stretch Ripped Distressed Biker Jeans Pants Rock Revival, Designer Jeans  ",4.4 out of 5 stars,"3,340  ",35.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A083499021H64FY56NSYQ&url=%2FZLZ-Biker-Stretch-Skinny-Black01%2Fdp%2FB077XYYGG9%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Djeans%26qid%3D1662383725%26sr%3D8-84-spons%26psc%3D1&qualifier=1662383725&id=4534559433664928&widgetName=sp_mtf
